close,high,low,open,time,volume
109530.5,109599.0,109466.5,109568.0,1749627000,16788
109560.0,109661.5,109519.0,109661.5,1749626100,19487
109660.5,109718.5,109551.5,109561.5,1749625200,56374
109567.0,109654.0,109332.5,109418.0,1749624300,49153
109418.0,109430.5,109343.0,109416.0,1749623400,28124
109416.0,109555.5,109377.0,109526.0,1749622500,25708
109526.0,109566.0,109435.0,109435.0,1749621600,24834
109434.0,109519.5,109411.5,109466.0,1749620700,26175
109473.0,109604.5,109450.5,109604.5,1749619800,19930
109603.5,109623.5,109385.5,109448.0,1749618900,56996
109447.0,109549.0,109415.0,109534.0,1749618000,53204
109532.0,109568.0,109510.0,109568.0,1749617100,16551
109567.0,109694.5,109554.5,109642.0,1749616200,20525
109642.0,109644.5,109545.0,109553.0,1749615300,19911
109552.0,109694.5,109537.5,109675.5,1749614400,19528
109674.5,109719.5,109571.0,109596.0,1749613500,20268
109600.0,109788.0,109587.5,109727.5,1749612600,29752
109726.5,109837.0,109685.5,109767.5,1749611700,21433
109767.5,109768.5,109630.0,109651.5,1749610800,19851
109652.5,109661.0,109512.5,109570.0,1749609900,24396
109570.5,109647.0,109518.0,109555.5,1749609000,29603
109555.5,109773.0,109510.0,109733.5,1749608100,32052
109721.0,109831.5,109566.0,109573.0,1749607200,37673
109573.0,109674.5,109531.5,109661.0,1749606300,13085
109660.0,109680.0,109566.5,109680.0,1749605400,15226
109685.0,109802.5,109540.5,109791.0,1749604500,29184
109791.0,109798.0,109627.5,109794.0,1749603600,31832
109794.0,110011.0,109732.5,109872.5,1749602700,20091
109877.0,110039.0,109786.5,109818.0,1749601800,18464
109798.0,110111.5,109782.0,109966.0,1749600900,25406
109945.0,110250.0,109929.5,110246.0,1749600000,25137
110247.0,110274.5,110071.5,110141.5,1749599100,27218
110140.5,110160.0,109776.0,109776.0,1749598200,16955
109760.0,109790.0,109566.5,109681.0,1749597300,6971
109658.5,109875.0,109555.5,109715.5,1749596400,14315
109686.0,109778.0,109568.5,109741.0,1749595500,17640
109735.5,109987.0,109721.5,109923.0,1749594600,9735
109923.0,110068.0,109864.0,109992.0,1749593700,21774
109993.0,110143.0,109799.0,109824.5,1749592800,31973
109824.5,109824.5,109664.5,109794.0,1749591900,8716
109800.0,109899.0,109710.5,109735.5,1749591000,12492
109735.5,109786.5,109374.0,109726.0,1749590100,39478
109731.5,109961.0,109715.0,109922.0,1749589200,44448
109922.0,109974.5,109603.5,109659.0,1749588300,27661
109659.0,109695.5,109420.0,109498.5,1749587400,45681
109498.5,109555.0,109200.0,109297.5,1749586500,61435
109295.0,109494.5,109250.5,109472.0,1749585600,40191
109472.0,109953.5,109266.0,109953.0,1749584700,128540
109953.0,110379.0,109914.0,110017.5,1749583800,144185
110002.0,110150.0,109396.5,109452.5,1749582900,185038
109452.5,109509.0,109240.5,109240.5,1749582000,66669
109240.5,109444.0,109019.5,109041.0,1749581100,129641
109042.0,109073.5,108789.0,108885.5,1749580200,54053
108889.0,108899.0,108678.5,108686.0,1749579300,43143
108678.5,108797.0,108480.5,108669.5,1749578400,68006
108678.0,108823.5,108575.5,108700.5,1749577500,61986
108701.5,108931.0,108670.5,108806.5,1749576600,66821
108807.5,109037.5,108806.5,108898.5,1749575700,63500
108898.5,108955.0,108666.0,108690.5,1749574800,68881
108691.5,108861.0,108649.5,108852.0,1749573900,72730
108851.0,109028.5,108774.0,108975.0,1749573000,48365
108971.5,109149.0,108755.0,109081.5,1749572100,106880
109081.5,109221.0,108974.5,108985.5,1749571200,108043
108985.5,109061.0,108642.0,108745.0,1749570300,95335
108739.5,109033.5,108300.0,109033.5,1749569400,253726
109032.5,109181.5,108912.5,109084.5,1749568500,112897
109082.0,109084.5,108468.5,108589.5,1749567600,158086
108596.0,108716.0,108438.0,108584.0,1749566700,123104
108584.0,108891.0,108515.5,108799.0,1749565800,162953
108798.0,109080.5,108643.5,109050.0,1749564900,151225
109053.5,109308.0,108870.0,109277.0,1749564000,141090
109278.0,109288.0,108810.5,108977.5,1749563100,202707
108976.5,109742.5,108920.5,109696.5,1749562200,295014
109686.5,109861.5,109599.0,109736.0,1749561300,81395
109737.0,109755.0,109565.0,109656.0,1749560400,41872
109653.5,109662.5,109499.0,109536.0,1749559500,42918
109540.0,109578.5,109384.0,109429.0,1749558600,43393
109437.5,109556.0,109389.0,109425.0,1749557700,46755
109426.0,109574.0,109369.0,109508.5,1749556800,57841
109503.5,109719.0,109459.0,109692.5,1749555900,80464
109692.5,109811.0,109622.0,109707.0,1749555000,125078
109705.5,109737.5,109411.0,109411.0,1749554100,135909
109411.0,109445.0,109170.0,109280.0,1749553200,57512
109273.5,109300.5,109241.0,109244.0,1749552300,22017
109244.0,109392.0,109237.5,109376.0,1749551400,47543
109375.0,109552.0,109370.0,109482.0,1749550500,51629
109482.0,109511.5,109381.5,109486.5,1749549600,47518
109486.5,109501.0,109320.5,109333.0,1749548700,35835
109334.0,109447.5,109258.0,109261.0,1749547800,49990
109260.0,109362.5,109076.5,109138.5,1749546900,51094
109139.5,109183.0,109047.5,109061.5,1749546000,36533
109061.5,109246.0,109030.0,109220.5,1749545100,46964
109229.5,109311.0,109090.5,109175.0,1749544200,42922
109175.0,109301.5,109163.0,109216.5,1749543300,24654
109216.5,109390.0,109136.0,109189.5,1749542400,53785
109188.5,109248.5,109066.0,109130.0,1749541500,64846
109136.5,109487.5,109121.5,109434.0,1749540600,55710
109434.0,109487.5,109258.0,109361.5,1749539700,45348
109362.5,109471.0,109310.5,109470.5,1749538800,37707
109471.5,109604.0,109469.0,109541.0,1749537900,39131
109541.0,109611.0,109323.0,109373.0,1749537000,80964
109373.0,109388.0,109171.0,109171.0,1749536100,33596
109166.0,109375.0,109110.0,109271.0,1749535200,78161
109283.0,109403.0,109193.5,109359.5,1749534300,34466
109364.5,109411.0,109170.0,109384.0,1749533400,96956
109384.0,109701.0,109361.0,109479.5,1749532500,82065
109489.0,109526.0,109418.5,109497.0,1749531600,16588
109489.5,109511.0,109410.0,109456.5,1749530700,15697
109457.5,109511.0,109348.5,109360.5,1749529800,34523
109361.5,109400.0,109332.0,109377.5,1749528900,38990
109378.5,109621.0,109377.5,109536.0,1749528000,32996
109537.0,109575.0,109394.0,109405.5,1749527100,28992
109419.5,109483.0,109351.5,109435.5,1749526200,18378
109441.0,109492.0,109365.0,109369.0,1749525300,21344
109369.0,109656.5,109355.0,109625.5,1749524400,33657
109618.5,109726.0,109533.5,109594.0,1749523500,23830
109594.0,109673.5,109531.5,109616.5,1749522600,22625
109620.0,109659.0,109442.5,109586.0,1749521700,38090
109586.0,109754.0,109350.5,109754.0,1749520800,68958
109754.0,109858.0,109611.0,109845.5,1749519900,40505
109835.0,109846.0,109710.5,109812.5,1749519000,18088
109812.5,109902.5,109698.5,109735.5,1749518100,31771
109731.5,109928.0,109694.0,109880.0,1749517200,50184
109881.5,110129.0,109872.0,110120.0,1749516300,32358
110117.5,110280.0,110024.0,110250.0,1749515400,26002
110252.5,110286.5,109923.5,109943.0,1749514500,27982
109951.5,110255.0,109913.5,110238.5,1749513600,19887
110239.5,110288.0,110111.0,110159.0,1749512700,15064
110168.5,110249.0,109943.0,110010.0,1749511800,24037
110010.0,110250.5,109850.5,109904.0,1749510900,21338
109904.0,110248.5,109860.5,110144.0,1749510000,27222
110143.0,110229.0,110068.0,110211.0,1749509100,13065
110219.5,110395.5,110059.0,110169.5,1749508200,32686
110168.5,110210.5,109782.5,109877.5,1749507300,37444
109877.5,110160.5,109704.5,109947.0,1749506400,45516
109940.5,110077.5,109690.0,109869.5,1749505500,49630
109877.0,110656.0,109840.5,110541.5,1749504600,82602
110541.5,110614.0,109185.5,109185.5,1749503700,214801
109175.0,109357.5,108648.5,108648.5,1749502800,194359
108647.5,108673.5,108558.0,108615.5,1749501900,17866
108615.5,108692.0,108615.5,108645.0,1749501000,15982
108630.0,108630.0,108429.5,108429.5,1749500100,12715
108415.5,108664.0,108394.0,108525.5,1749499200,27139
108513.5,108596.0,108288.0,108406.5,1749498300,53715
108407.5,108630.5,108391.5,108629.5,1749497400,37115
108630.5,108725.5,108432.0,108457.0,1749496500,103349
108457.0,108573.5,108365.5,108401.0,1749495600,64073
108396.5,108435.5,108233.5,108326.5,1749494700,44600
108331.0,108454.5,108250.5,108383.0,1749493800,52894
108383.0,108508.0,108337.0,108406.5,1749492900,57483
108407.5,108477.5,108242.0,108293.0,1749492000,103216
108294.0,108377.5,108153.0,108250.5,1749491100,72650
108251.5,108306.0,108110.5,108280.0,1749490200,95246
108281.0,108312.0,108125.5,108229.5,1749489300,177454
108229.5,108262.0,107610.5,107659.0,1749488400,217605
107659.0,108097.0,107610.5,107897.0,1749487500,176817
