,time,volume,Timestamp,close,open,high,low,RF_BuySignal,RF_SellSignal,rsi_buy,rsi_sell,gaizy_color,GreenArrow,RedArrow
1970-01-01 00:00:00.000000000,1748349000,4798,2025-05-27 12:30:00,2643.9875,2645.025,0.0,0.0,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000001,1748349900,6850,2025-05-27 12:45:00,2642.35,2644.5062500000004,2647.0,2637.5,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000002,1748350800,23341,2025-05-27 13:00:00,2657.8,2643.4281250000004,2670.8,2643.4281250000004,1,0,True,False,black,False,False
1970-01-01 00:00:00.000000003,1748351700,40194,2025-05-27 13:15:00,2668.5375,2650.6140625000003,2682.7,2650.6140625000003,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000004,1748352600,22761,2025-05-27 13:30:00,2661.5375,2659.57578125,2673.95,2648.5,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000005,1748353500,35601,2025-05-27 13:45:00,2653.1875,2660.556640625,2660.95,2643.35,0,1,False,False,black,False,False
1970-01-01 00:00:00.000000006,1748354400,23588,2025-05-27 14:00:00,2660.725,2656.8720703125,2666.35,2653.05,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000007,1748355300,12664,2025-05-27 14:15:00,2655.75,2658.79853515625,2662.65,2648.55,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000008,1748356200,50102,2025-05-27 14:30:00,2650.8999999999996,2657.274267578125,2660.2,2631.5,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000009,1748357100,28374,2025-05-27 14:45:00,2660.1375,2654.087133789062,2670.35,2652.6,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000010,1748358000,12631,2025-05-27 15:00:00,2660.65,2657.112316894531,2666.9,2652.25,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000011,1748358900,8760,2025-05-27 15:15:00,2662.3125,2658.8811584472655,2667.8,2656.0,1,0,False,False,black,False,False
1970-01-01 00:00:00.000000012,1748359800,2173,2025-05-27 15:30:00,2662.7,2660.596829223633,2665.6,2659.5,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000013,1748360700,9744,2025-05-27 15:45:00,2666.4125,2661.6484146118164,2669.55,2661.6,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000014,1748361600,14789,2025-05-27 16:00:00,2664.2125,2664.0304573059084,2668.15,2657.9,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000015,1748362500,27751,2025-05-27 16:15:00,2667.5125,2664.1214786529545,2680.95,2661.45,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000016,1748363400,9260,2025-05-27 16:30:00,2667.0375,2665.816989326477,2675.7,2660.3,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000017,1748364300,6780,2025-05-27 16:45:00,2673.1625,2666.4272446632385,2682.75,2666.4272446632385,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000018,1748365200,25103,2025-05-27 17:00:00,2680.0375,2669.7948723316194,2693.2,2669.7948723316194,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000019,1748366100,10046,2025-05-27 17:15:00,2681.6375,2674.9161861658094,2690.5,2670.95,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000020,1748367000,20980,2025-05-27 17:30:00,2688.4375,2678.2768430829046,2702.65,2675.85,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000021,1748367900,27122,2025-05-27 17:45:00,2700.7,2683.3571715414523,2711.25,2683.3571715414523,0,0,False,False,black,False,False
