,time,volume,Timestamp,close,open,high,low,RF_BuySignal,RF_SellSignal,atr,GreenArrow,RedArrow,BarIndex,Signal_Final
1970-01-01 00:00:00.000000880,1749629100,81592,2025-06-11 08:05:00,2787.8,2793.0233681694244,2793.0233681694244,2784.75,0,1,6.494216661249831,False,True,2.0,-1
1970-01-01 00:00:00.000000881,1749629400,54952,2025-06-11 08:10:00,2786.3625,2790.4116840847123,2790.4116840847123,2784.35,0,0,6.356268662191853,False,False,1.0,0
1970-01-01 00:00:00.000000882,1749629700,191927,2025-06-11 08:15:00,2780.825,2788.387092042356,2789.25,2773.75,0,0,6.588411519334711,False,True,2.0,0
1970-01-01 00:00:00.000000883,1749630000,96806,2025-06-11 08:20:00,2776.625,2784.606046021178,2784.606046021178,2773.55,0,0,6.692414806561699,False,False,1.0,0
1970-01-01 00:00:00.000000884,1749630300,43576,2025-06-11 08:25:00,2778.6,2780.6155230105887,2780.6155230105887,2776.4,0,0,6.647095021603751,False,False,2.0,0
1970-01-01 00:00:00.000000885,1749630600,39500,2025-06-11 08:30:00,2779.4500000000003,2779.6077615052945,2781.5,2778.05,0,0,6.65066645017516,False,False,3.0,0
1970-01-01 00:00:00.000000886,1749630900,92095,2025-06-11 08:35:00,2776.8250000000003,2779.5288807526476,2781.2,2771.55,0,0,7.014952164460835,False,False,4.0,0
1970-01-01 00:00:00.000000887,1749631200,55165,2025-06-11 08:40:00,2775.625,2778.1769403763237,2779.4,2772.05,0,0,7.272095021603685,False,False,5.0,0
1970-01-01 00:00:00.000000888,1749631500,180285,2025-06-11 08:45:00,2771.0874999999996,2776.900970188162,2776.900970188162,2765.3,0,0,7.540021463615241,False,True,6.0,0
1970-01-01 00:00:00.000000889,1749631800,80611,2025-06-11 08:50:00,2769.2124999999996,2773.994235094081,2773.994235094081,2765.1,0,0,7.793181113192467,False,False,1.0,0
1970-01-01 00:00:00.000000890,1749632100,34358,2025-06-11 08:55:00,2770.2875,2771.6033675470403,2772.1,2768.4,0,0,7.647645398906726,False,False,2.0,0
1970-01-01 00:00:00.000000891,1749632400,93272,2025-06-11 09:00:00,2767.1499999999996,2770.94543377352,2770.94543377352,2763.15,0,0,7.8937478113010195,False,False,3.0,0
1970-01-01 00:00:00.000000892,1749632700,85134,2025-06-11 09:05:00,2765.9125000000004,2769.04771688676,2769.04771688676,2761.55,0,0,7.980658111948189,False,False,4.0,0
1970-01-01 00:00:00.000000893,1749633000,38145,2025-06-11 09:10:00,2766.5375,2767.4801084433802,2768.5,2764.1,0,0,7.81749837345894,False,False,5.0,0
1970-01-01 00:00:00.000000894,1749633300,78851,2025-06-11 09:15:00,2767.275,2767.0088042216903,2771.45,2765.2,0,0,7.672972075642909,False,False,6.0,0
1970-01-01 00:00:00.000000895,1749633600,81364,2025-06-11 09:20:00,2769.3375,2767.141902110845,2773.0,2766.0,0,0,7.739994641020595,False,False,7.0,0
1970-01-01 00:00:00.000000896,1749633900,23231,2025-06-11 09:25:00,2770.3125,2768.2397010554223,2771.4,2767.8,0,0,6.889994641020588,False,False,8.0,0
1970-01-01 00:00:00.000000897,1749634200,62558,2025-06-11 09:30:00,2771.425,2769.276100527711,2773.65,2769.276100527711,0,0,6.412698458957103,False,False,9.0,0
1970-01-01 00:00:00.000000898,1749634500,69914,2025-06-11 09:35:00,2769.0874999999996,2770.3505502638554,2772.6,2765.65,0,0,6.608018243915045,False,False,10.0,0
1970-01-01 00:00:00.000000899,1749634800,29999,2025-06-11 09:40:00,2767.15,2769.7190251319275,2769.7190251319275,2765.85,0,0,6.637948610481317,False,False,11.0,0
1970-01-01 00:00:00.000000900,1749635100,112477,2025-06-11 09:45:00,2764.825,2768.434512565964,2769.1,2760.6,0,0,6.555805753338485,False,True,12.0,0
1970-01-01 00:00:00.000000901,1749635400,150869,2025-06-11 09:50:00,2760.1125,2766.629756282982,2766.629756282982,2756.7,0,0,6.740074059265778,False,False,1.0,0
1970-01-01 00:00:00.000000902,1749635700,132783,2025-06-11 09:55:00,2757.4875,2763.3711281414908,2763.3711281414908,2753.55,0,0,6.612942484503557,False,False,1.0,0
1970-01-01 00:00:00.000000903,1749636000,89440,2025-06-11 10:00:00,2760.3250000000003,2760.4293140707455,2763.85,2757.55,0,0,6.432104263497747,False,False,2.0,0
1970-01-01 00:00:00.000000904,1749636300,103846,2025-06-11 10:05:00,2763.1375,2760.377157035373,2768.15,2757.0,0,0,6.964247120640623,False,False,3.0,0
1970-01-01 00:00:00.000000905,1749636600,46487,2025-06-11 10:10:00,2765.725,2761.7573285176863,2767.4,2761.7573285176863,0,0,6.810478385554461,False,False,4.0,0
1970-01-01 00:00:00.000000906,1749636900,45813,2025-06-11 10:15:00,2764.9125,2763.741164258843,2767.25,2761.25,0,0,6.703498607928752,False,False,5.0,0
1970-01-01 00:00:00.000000907,1749637200,51654,2025-06-11 10:20:00,2766.3500000000004,2764.3268321294217,2768.8,2764.3268321294217,0,0,6.7087248843986345,False,False,6.0,0
1970-01-01 00:00:00.000000908,1749637500,29230,2025-06-11 10:25:00,2766.8500000000004,2765.338416064711,2768.65,2764.95,0,0,6.526582027255797,True,False,7.0,0
1970-01-01 00:00:00.000000909,1749637800,75571,2025-06-11 10:30:00,2769.1875,2766.0942080323557,2771.35,2766.0942080323557,0,0,6.401995739230382,False,False,1.0,0
1970-01-01 00:00:00.000000910,1749638100,32396,2025-06-11 10:35:00,2769.4875,2767.640854016178,2770.6,2767.5,1,0,6.3662814535160965,False,False,1.0,0
1970-01-01 00:00:00.000000911,1749638400,51550,2025-06-11 10:40:00,2767.2625,2768.5641770080892,2769.6,2763.65,0,0,6.478860062638303,False,False,2.0,0
1970-01-01 00:00:00.000000912,1749638700,67211,2025-06-11 10:45:00,2769.275,2767.9133385040445,2773.35,2766.0,0,0,6.507431491209737,False,False,3.0,0
1970-01-01 00:00:00.000000913,1749639000,32259,2025-06-11 10:50:00,2770.2749999999996,2768.5941692520223,2771.45,2768.2,0,0,6.463215410357764,False,False,4.0,0
1970-01-01 00:00:00.000000914,1749639300,26939,2025-06-11 10:55:00,2770.25,2769.434584626011,2771.5,2768.0,0,0,6.106072553214907,False,False,5.0,0
1970-01-01 00:00:00.000000915,1749639600,29081,2025-06-11 11:00:00,2769.6875,2769.8422923130056,2771.7,2767.0,0,0,5.732518533001894,False,False,6.0,0
1970-01-01 00:00:00.000000916,1749639900,34396,2025-06-11 11:05:00,2768.5875,2769.764896156503,2771.25,2766.95,0,0,5.33815223718115,False,False,7.0,0
1970-01-01 00:00:00.000000917,1749640200,17908,2025-06-11 11:10:00,2767.7125,2769.176198078251,2770.2,2766.15,0,0,5.172973665752579,False,False,8.0,0
1970-01-01 00:00:00.000000918,1749640500,113890,2025-06-11 11:15:00,2764.925,2768.444349039126,2768.444349039126,2761.7,0,0,4.858284311404434,False,True,9.0,0
1970-01-01 00:00:00.000000919,1749640800,32243,2025-06-11 11:20:00,2764.2875,2766.684674519563,2766.9,2762.45,0,0,4.7730934912391865,False,False,1.0,0
1970-01-01 00:00:00.000000920,1749641100,22051,2025-06-11 11:25:00,2764.8,2765.4860872597815,2766.4,2763.3,0,0,4.565950634096323,False,False,2.0,0
1970-01-01 00:00:00.000000921,1749641400,137389,2025-06-11 11:30:00,2768.6499999999996,2765.1430436298906,2775.0,2765.1430436298906,0,0,4.975010071912136,True,False,3.0,0
1970-01-01 00:00:00.000000922,1749641700,92888,2025-06-11 11:35:00,2765.5250000000005,2766.896521814945,2770.6,2761.3,0,0,5.375010071912096,False,False,1.0,0
1970-01-01 00:00:00.000000923,1749642000,76797,2025-06-11 11:40:00,2762.8999999999996,2766.210760907473,2766.210760907473,2761.45,0,0,5.339650710471298,False,True,2.0,0
1970-01-01 00:00:00.000000924,1749642300,62111,2025-06-11 11:45:00,2765.6499999999996,2764.5553804537362,2768.55,2762.4,0,0,5.557507853328453,False,False,1.0,0
1970-01-01 00:00:00.000000925,1749642600,36307,2025-06-11 11:50:00,2769.5,2765.1026902268677,2771.95,2765.1026902268677,0,0,5.621601408552189,True,False,2.0,0
1970-01-01 00:00:00.000000926,1749642900,79622,2025-06-11 11:55:00,2772.0874999999996,2767.301345113434,2774.05,2767.301345113434,0,0,5.5786481861640755,False,False,1.0,0
1970-01-01 00:00:00.000000927,1749643200,124110,2025-06-11 12:00:00,2772.8500000000004,2769.6944225567167,2779.15,2765.55,0,0,6.317933900449783,False,False,1.0,0
1970-01-01 00:00:00.000000928,1749643500,140925,2025-06-11 12:05:00,2774.8125,2771.2722112783586,2781.2,2768.85,0,0,6.950076757592634,True,False,2.0,0
1970-01-01 00:00:00.000000929,1749643800,133329,2025-06-11 12:10:00,2779.125,2773.0423556391793,2783.6,2773.0423556391793,0,0,7.368479926222692,False,False,1.0,0
1970-01-01 00:00:00.000000930,1749644100,124590,2025-06-11 12:15:00,2775.125,2776.08367781959,2780.5,2769.75,0,0,7.829194211936965,False,False,2.0,0
1970-01-01 00:00:00.000000931,1749644400,115844,2025-06-11 12:20:00,2768.325,2775.604338909795,2775.604338909795,2763.75,0,0,8.386646991208051,False,True,3.0,0
1970-01-01 00:00:00.000000932,1749644700,73058,2025-06-11 12:25:00,2769.65,2771.9646694548974,2773.2,2765.65,0,0,8.444193488413314,False,False,1.0,0
1970-01-01 00:00:00.000000933,1749645000,624296,2025-06-11 12:30:00,2792.3875000000003,2770.8073347274485,2815.1,2770.8073347274485,0,0,11.372764916984709,True,False,2.0,0
1970-01-01 00:00:00.000000934,1749645300,232785,2025-06-11 12:35:00,2802.5125,2781.597417363724,2810.0,2781.597417363724,0,0,13.180092248147275,False,False,1.0,0
1970-01-01 00:00:00.000000935,1749645600,362211,2025-06-11 12:40:00,2807.7500000000005,2792.054958681862,2822.55,2792.054958681862,0,0,14.629738056585731,False,False,2.0,0
1970-01-01 00:00:00.000000936,1749645900,209644,2025-06-11 12:45:00,2809.5625,2799.902479340931,2816.1,2799.902479340931,0,0,15.122418103662085,False,False,3.0,0
1970-01-01 00:00:00.000000937,1749646200,139581,2025-06-11 12:50:00,2801.9375,2804.732489670466,2807.65,2797.6,0,0,15.63682803884259,False,False,4.0,0
1970-01-01 00:00:00.000000938,1749646500,117556,2025-06-11 12:55:00,2801.0875,2803.334994835233,2805.6,2796.3,0,0,15.861828038842564,False,False,5.0,0
1970-01-01 00:00:00.000000939,1749646800,156650,2025-06-11 13:00:00,2801.95,2802.2112474176165,2807.6,2793.4,0,0,16.387020197904544,False,False,6.0,0
1970-01-01 00:00:00.000000940,1749647100,183928,2025-06-11 13:05:00,2807.7875,2802.080623708808,2814.55,2801.4,0,0,16.844259134578383,False,False,7.0,0
1970-01-01 00:00:00.000000941,1749647400,87098,2025-06-11 13:10:00,2809.8375,2804.934061854404,2813.1,2804.934061854404,0,0,16.456111859263824,False,False,8.0,0
