,time,volume,Timestamp,close,open,high,low,RF_BuySignal,RF_SellSignal,GreenArrow,RedArrow
1970-01-01 00:00:00.000000000,1748364300,615,2025-05-27 16:45:00,0.2289765,0.22897800000000001,0.0,0.0,0,0,False,False
1970-01-01 00:00:00.000000001,1748365200,324,2025-05-27 17:00:00,0.229335,0.22897725000000002,0.22999,0.22868,0,0,False,False
1970-01-01 00:00:00.000000002,1748366100,200,2025-05-27 17:15:00,0.228825,0.22915612500000002,0.22944,0.22821,0,1,False,False
1970-01-01 00:00:00.000000003,1748367000,5,2025-05-27 17:30:00,0.22851,0.2289905625,0.2289905625,0.22851,0,0,False,False
1970-01-01 00:00:00.000000004,1748367900,25,2025-05-27 17:45:00,0.22915,0.22875028125,0.22915,0.22875028125,1,0,False,False
1970-01-01 00:00:00.000000005,1748368800,46,2025-05-27 18:00:00,0.2291325,0.228950140625,0.22921,0.228950140625,0,0,False,False
1970-01-01 00:00:00.000000006,1748369700,4,2025-05-27 18:15:00,0.22907,0.2290413203125,0.22907,0.2290413203125,0,0,False,False
1970-01-01 00:00:00.000000007,1748370600,713,2025-05-27 18:30:00,0.2280125,0.22905566015625,0.22905566015625,0.22765,0,1,False,True
1970-01-01 00:00:00.000000008,1748371500,13,2025-05-27 18:45:00,0.22765000000000002,0.228534080078125,0.228534080078125,0.22753,0,0,False,False
1970-01-01 00:00:00.000000009,1748372400,0,2025-05-27 19:00:00,0.22777,0.22809204003906253,0.22809204003906253,0.22777,0,0,False,False
1970-01-01 00:00:00.000000010,1748373300,0,2025-05-27 19:15:00,0.22777,0.22793102001953125,0.22793102001953125,0.22777,0,0,False,False
1970-01-01 00:00:00.000000011,1748374200,0,2025-05-27 19:30:00,0.22777,0.22785051000976564,0.22785051000976564,0.22777,0,0,False,False
1970-01-01 00:00:00.000000012,1748375100,0,2025-05-27 19:45:00,0.22777,0.22781025500488283,0.22781025500488283,0.22777,0,0,False,False
1970-01-01 00:00:00.000000013,1748376000,500,2025-05-27 20:00:00,0.227203,0.22779012750244143,0.22779012750244143,0.2272,0,0,False,True
1970-01-01 00:00:00.000000014,1748376900,2,2025-05-27 20:15:00,0.22825,0.2274965637512207,0.22825,0.2274965637512207,1,0,False,False
1970-01-01 00:00:00.000000015,1748377800,0,2025-05-27 20:30:00,0.22825,0.22787328187561035,0.22825,0.22787328187561035,0,0,False,False
1970-01-01 00:00:00.000000016,1748378700,0,2025-05-27 20:45:00,0.22825,0.22806164093780518,0.22825,0.22806164093780518,0,0,False,False
1970-01-01 00:00:00.000000017,1748379600,0,2025-05-27 21:00:00,0.22825,0.2281558204689026,0.22825,0.2281558204689026,0,0,False,False
1970-01-01 00:00:00.000000018,1748380500,0,2025-05-27 21:15:00,0.22825,0.2282029102344513,0.22825,0.2282029102344513,0,0,False,False
1970-01-01 00:00:00.000000019,1748381400,500,2025-05-27 21:30:00,0.22605,0.22822645511722567,0.22822645511722567,0.22605,0,1,False,True
1970-01-01 00:00:00.000000020,1748382300,0,2025-05-27 21:45:00,0.22605,0.22713822755861285,0.22713822755861285,0.22605,0,0,False,False
1970-01-01 00:00:00.000000021,1748383200,25,2025-05-27 22:00:00,0.22558,0.22659411377930644,0.22659411377930644,0.22558,0,0,False,True
1970-01-01 00:00:00.000000022,1748384100,100,2025-05-27 22:15:00,0.22488,0.22608705688965322,0.22608705688965322,0.22488,0,0,False,False
1970-01-01 00:00:00.000000023,1748385000,12,2025-05-27 22:30:00,0.22502,0.2254835284448266,0.2254835284448266,0.22502,0,0,False,False
1970-01-01 00:00:00.000000024,1748385900,0,2025-05-27 22:45:00,0.22502,0.2252517642224133,0.2252517642224133,0.22502,0,0,False,False
1970-01-01 00:00:00.000000025,1748386800,0,2025-05-27 23:00:00,0.22502,0.22513588211120666,0.22513588211120666,0.22502,0,0,False,False
1970-01-01 00:00:00.000000026,1748387700,0,2025-05-27 23:15:00,0.22502,0.22507794105560333,0.22507794105560333,0.22502,0,0,False,False
1970-01-01 00:00:00.000000027,1748388600,0,2025-05-27 23:30:00,0.22502,0.22504897052780165,0.22504897052780165,0.22502,0,0,False,False
1970-01-01 00:00:00.000000028,1748389500,0,2025-05-27 23:45:00,0.22502,0.22503448526390082,0.22503448526390082,0.22502,0,0,False,False
1970-01-01 00:00:00.000000029,1748390400,0,2025-05-28 00:00:00,0.22502,0.2250272426319504,0.2250272426319504,0.22502,0,0,False,False
1970-01-01 00:00:00.000000030,1748391300,0,2025-05-28 00:15:00,0.22502,0.2250236213159752,0.2250236213159752,0.22502,0,0,False,False
1970-01-01 00:00:00.000000031,1748392200,0,2025-05-28 00:30:00,0.22502,0.2250218106579876,0.2250218106579876,0.22502,0,0,False,False
1970-01-01 00:00:00.000000032,1748393100,0,2025-05-28 00:45:00,0.22502,0.2250209053289938,0.2250209053289938,0.22502,0,0,False,False
1970-01-01 00:00:00.000000033,1748394000,0,2025-05-28 01:00:00,0.22502,0.22502045266449688,0.22502045266449688,0.22502,0,0,False,False
1970-01-01 00:00:00.000000034,1748394900,65,2025-05-28 01:15:00,0.22605,0.22502022633224844,0.22605,0.22502022633224844,0,0,False,False
