,Close,High,Low,Open,time,Volume,Timestamp,RSI,RSI_Smoothed,RSI_Momentum,Signal_Color,Long_Signal,Short_Signal,IsIB,BoxHigh,BoxLow,GreenArrow,RedArrow,BarColor,RF_UpperBand,RF_LowerBand,RF_Filter,RF_Trend,RF_BuySignal,RF_SellSignal
1970-01-01 00:00:00.000000000,102692.9,102726.3,102671.0,102671.0,1747120200,639,2025-05-13 07:10:00,,,,NEUTRAL,0,0,False,,,False,False,,,,,0.0,0,0
1970-01-01 00:00:00.000000001,102872.6,102897.8,102632.4,102678.4,1747120500,3524,2025-05-13 07:15:00,,,,NEUTRAL,0,0,False,,,False,False,,102872.6,102863.63896000001,102868.11948000001,0.0,0,0
1970-01-01 00:00:00.000000002,102700.0,102882.0,102700.0,102882.0,1747120800,1104,2025-05-13 07:20:00,,,,NEUTRAL,0,0,True,102897.8,102632.4,False,False,orange,102773.99612469843,102754.54632,102764.27122234923,-1.0,0,0
1970-01-01 00:00:00.000000003,102741.9,102775.3,102700.0,102720.0,1747121100,2421,2025-05-13 07:25:00,,,,NEUTRAL,0,0,True,102897.8,102632.4,False,False,orange,102752.5987082328,102719.97553664459,102736.28712243869,-1.0,0,0
1970-01-01 00:00:00.000000004,102749.4,102788.0,102657.5,102775.3,1747121400,2331,2025-05-13 07:30:00,,,,NEUTRAL,0,0,True,102897.8,102632.4,False,False,orange,102750.4662360776,102705.66378924204,102728.06501265982,-1.0,0,0
1970-01-01 00:00:00.000000005,102643.5,102709.5,102641.9,102709.5,1747121700,793,2025-05-13 07:35:00,,,,NEUTRAL,0,0,False,,,False,False,,102722.54853945613,102664.22126308069,102693.3849012684,-1.0,0,0
1970-01-01 00:00:00.000000006,102625.2,102665.5,102604.7,102643.4,1747122000,1278,2025-05-13 07:40:00,,,,NEUTRAL,0,0,False,,,False,False,,102708.85487470186,102638.20708769356,102673.5309811977,-1.0,0,0
1970-01-01 00:00:00.000000007,102608.3,102654.5,102607.7,102653.7,1747122300,1627,2025-05-13 07:45:00,,,,NEUTRAL,0,0,True,102665.5,102604.7,False,False,orange,102699.38480252877,102618.26902923119,102658.82691587997,-1.0,0,0
1970-01-01 00:00:00.000000008,102624.4,102644.6,102620.6,102624.0,1747122600,770,2025-05-13 07:50:00,,,,NEUTRAL,0,0,True,102665.5,102604.7,False,False,orange,102699.38480252877,102618.26902923119,102658.82691587997,-1.0,0,0
1970-01-01 00:00:00.000000009,102606.7,102700.0,102590.0,102646.5,1747122900,1135,2025-05-13 07:55:00,,,,NEUTRAL,0,0,False,,,False,False,,102699.38480252877,102618.26902923119,102658.82691587997,-1.0,0,0
1970-01-01 00:00:00.000000010,102864.0,102864.0,102624.0,102624.0,1747123200,1090,2025-05-13 08:00:00,60.25902386377306,60.25902386377306,,NEUTRAL,0,0,False,,,False,False,,102809.1282675096,102704.09812148966,102756.61319449963,1.0,1,0
1970-01-01 00:00:00.000000011,102787.2,102887.3,102752.7,102863.8,1747123500,1307,2025-05-13 08:05:00,54.66511948362781,57.462071673700436,-2.7969521900726235,WEAK_BEAR,0,0,True,102864.0,102624.0,False,False,orange,102809.1282675096,102704.09812148966,102756.61319449963,1.0,0,0
1970-01-01 00:00:00.000000012,102861.6,102861.6,102775.7,102775.7,1747123800,1022,2025-05-13 08:10:00,58.783558552784,58.12281511324222,0.6607434395417826,STRONG_BULL,0,0,True,102864.0,102624.0,False,False,orange,102809.1282675096,102704.09812148966,102756.61319449963,1.0,0,0
1970-01-01 00:00:00.000000013,102811.4,102903.6,102811.2,102877.4,1747124100,1597,2025-05-13 08:15:00,55.035298065709725,56.57905658947597,-1.5437585237662503,WEAK_BEAR,0,0,False,,,False,False,,102809.1282675096,102704.09812148966,102756.61319449963,1.0,0,0
1970-01-01 00:00:00.000000014,102597.5,102811.2,102537.5,102811.2,1747124400,1837,2025-05-13 08:20:00,42.2736176506949,49.426337120085435,-7.152719469390533,STRONG_BEAR,0,1,False,,,False,False,,102789.64133837108,102633.03270716322,102711.33702276715,-1.0,0,1
1970-01-01 00:00:00.000000015,102541.2,102569.3,102507.6,102537.5,1747124700,1406,2025-05-13 08:25:00,39.58892049815298,44.50762880911921,-4.918708310966224,STRONG_BEAR,0,0,True,102811.2,102537.5,False,False,orange,102757.08232768899,102571.81090238773,102664.44661503835,-1.0,0,0
1970-01-01 00:00:00.000000016,102650.0,102650.0,102528.6,102544.3,1747125000,1134,2025-05-13 08:30:00,46.83832795431309,45.67297838171615,1.1653495725969378,WEAK_BULL,0,0,False,,,False,False,,102757.08232768899,102571.81090238773,102664.44661503835,-1.0,0,0
1970-01-01 00:00:00.000000017,102770.1,102798.1,102675.0,102675.0,1747125300,886,2025-05-13 08:35:00,53.65894181121799,49.665960096467074,3.9929817147509254,WEAK_BULL,0,0,False,,,False,False,,102765.76077589633,102547.42041027395,102656.59059308513,-1.0,0,0
